"disease_id","pathway_id","evidence","weight"
"40","969","context_pathway_projection","0.4501272141933441"
"40","970","context_pathway_projection","0.41074109077453613"
"40","1011","context_pathway_projection","0.4351229667663574"
"40","1012","context_pathway_projection","0.40699002146720886"
"40","1013","context_pathway_projection","0.4351229667663574"
"41","3","disease_pathway_prior","0.75"
"41","5","disease_pathway_prior","0.75"
"41","80","disease_pathway_prior","0.75"
"41","289","context_pathway_projection","0.4859595000743866"
"41","484","context_pathway_projection","0.5381563901901245"
"41","967","context_pathway_projection","0.5474349856376648"
"41","968","context_pathway_projection","0.5381563901901245"
"41","969","context_pathway_projection","0.5567135214805603"
"41","970","context_pathway_projection","0.5080010890960693"
"41","1011","context_pathway_projection","0.5381563901901245"
"41","1012","context_pathway_projection","0.5033618211746216"
"41","1013","context_pathway_projection","0.5381563901901245"
"42","289","context_pathway_projection","0.20255674421787262"
"42","437","context_pathway_projection","0.19114510715007782"
"42","484","context_pathway_projection","0.215521901845932"
"42","967","context_pathway_projection","0.2192378044128418"
"42","968","context_pathway_projection","0.215521901845932"
"42","969","context_pathway_projection","0.2229536920785904"
"42","970","context_pathway_projection","0.20344525575637817"
"42","972","context_pathway_projection","0.1758236140012741"
"42","1011","context_pathway_projection","0.215521901845932"
"42","1012","context_pathway_projection","0.20158728957176208"
"42","1013","context_pathway_projection","0.215521901845932"
"42","1090","context_pathway_projection","0.17493337392807007"
"43","44","context_pathway_projection","0.47341546416282654"
"43","159","context_pathway_projection","0.49016010761260986"
"43","199","context_pathway_projection","0.16556233167648315"
"43","231","context_pathway_projection","0.4011092782020569"
"43","420","context_pathway_projection","0.5403938889503479"
"43","433","context_pathway_projection","0.433837354183197"
"43","454","context_pathway_projection","0.4102426767349243"
"43","518","context_pathway_projection","0.1774825006723404"
"43","528","context_pathway_projection","0.1736731231212616"
"43","625","context_pathway_projection","0.16894115507602692"
"43","930","context_pathway_projection","0.4658043086528778"
"43","1008","context_pathway_projection","0.4011092782020569"
"44","199","context_pathway_projection","0.48354846239089966"
"44","284","context_pathway_projection","0.4736801087856293"
"44","285","context_pathway_projection","0.48354846239089966"
"44","286","context_pathway_projection","0.48354846239089966"
"44","434","context_pathway_projection","0.3690797984600067"
"44","518","context_pathway_projection","0.49194639921188354"
"44","524","context_pathway_projection","0.4266735017299652"
"44","528","context_pathway_projection","0.48138755559921265"
"44","625","context_pathway_projection","0.49341678619384766"
"44","631","context_pathway_projection","0.3959568738937378"
"44","653","context_pathway_projection","0.4539434611797333"
"44","668","context_pathway_projection","0.39979642629623413"
"45","44","context_pathway_projection","0.5998609066009521"
"45","159","context_pathway_projection","0.621077835559845"
"45","231","context_pathway_projection","0.5082423090934753"
"45","420","context_pathway_projection","0.6847286820411682"
"45","433","context_pathway_projection","0.5497117638587952"
"45","454","context_pathway_projection","0.5198151469230652"
"45","518","context_pathway_projection","0.06472992151975632"
"45","524","context_pathway_projection","0.05614136531949043"
"45","528","context_pathway_projection","0.06334059685468674"
"45","625","context_pathway_projection","0.055203381925821304"
