"drug_id","pathway_id","weight","evidence"
"7","343","1.0","pathway_prior_projection"
"7","347","1.0","pathway_prior_projection"
"7","354","1.0","pathway_prior_projection"
"7","360","1.0","pathway_prior_projection"
"7","361","1.0","pathway_prior_projection"
"7","364","1.0","pathway_prior_projection"
"7","381","1.0","pathway_prior_projection"
"7","382","1.0","pathway_prior_projection"
"7","403","1.0","pathway_prior_projection"
"7","408","1.0","pathway_prior_projection"
"7","409","1.0","pathway_prior_projection"
"7","412","1.0","pathway_prior_projection"
"7","416","1.0","pathway_prior_projection"
"7","417","1.0","pathway_prior_projection"
"7","420","1.0","pathway_prior_projection"
"7","424","1.0","pathway_prior_projection"
"7","433","1.0","pathway_prior_projection"
"7","435","1.0","pathway_prior_projection"
"7","445","1.0","pathway_prior_projection"
"7","452","1.0","pathway_prior_projection"
"7","453","1.0","pathway_prior_projection"
"7","454","1.0","pathway_prior_projection"
"7","456","1.0","pathway_prior_projection"
"7","459","1.0","pathway_prior_projection"
"7","494","1.0","pathway_prior_projection"
"7","497","1.0","pathway_prior_projection"
"7","501","1.0","pathway_prior_projection"
"7","509","1.0","pathway_prior_projection"
"7","510","1.0","pathway_prior_projection"
"7","518","1.0","pathway_prior_projection"
"7","524","1.0","pathway_prior_projection"
"7","584","1.0","pathway_prior_projection"
"7","586","1.0","pathway_prior_projection"
"7","631","1.0","pathway_prior_projection"
"7","632","1.0","pathway_prior_projection"
"7","633","1.0","pathway_prior_projection"
"7","634","1.0","pathway_prior_projection"
"7","635","1.0","pathway_prior_projection"
"7","636","1.0","pathway_prior_projection"
"7","637","1.0","pathway_prior_projection"
"7","638","1.0","pathway_prior_projection"
"7","639","1.0","pathway_prior_projection"
"7","640","1.0","pathway_prior_projection"
"7","641","1.0","pathway_prior_projection"
"7","642","1.0","pathway_prior_projection"
"7","650","1.0","pathway_prior_projection"
"7","668","1.0","pathway_prior_projection"
"7","672","1.0","pathway_prior_projection"
"7","703","1.0","pathway_prior_projection"
"7","704","1.0","pathway_prior_projection"
"7","705","1.0","pathway_prior_projection"
"7","708","1.0","pathway_prior_projection"
"7","710","1.0","pathway_prior_projection"
"7","712","1.0","pathway_prior_projection"
"7","720","1.0","pathway_prior_projection"
"7","721","1.0","pathway_prior_projection"
"7","724","1.0","pathway_prior_projection"
"7","725","1.0","pathway_prior_projection"
"7","726","1.0","pathway_prior_projection"
"7","727","1.0","pathway_prior_projection"
"7","729","1.0","pathway_prior_projection"
"7","731","1.0","pathway_prior_projection"
"7","732","1.0","pathway_prior_projection"
"7","740","1.0","pathway_prior_projection"
"7","742","1.0","pathway_prior_projection"
"7","743","1.0","pathway_prior_projection"
"7","744","1.0","pathway_prior_projection"
"7","786","1.0","pathway_prior_projection"
"7","792","1.0","pathway_prior_projection"
"7","793","1.0","pathway_prior_projection"
"7","796","1.0","pathway_prior_projection"
"7","797","1.0","pathway_prior_projection"
"7","811","1.0","pathway_prior_projection"
"7","831","1.0","pathway_prior_projection"
"7","838","1.0","pathway_prior_projection"
"7","839","1.0","pathway_prior_projection"
"7","890","1.0","pathway_prior_projection"
"7","894","1.0","pathway_prior_projection"
"7","895","1.0","pathway_prior_projection"
"7","896","1.0","pathway_prior_projection"
"7","899","1.0","pathway_prior_projection"
"7","900","1.0","pathway_prior_projection"
"7","901","1.0","pathway_prior_projection"
"7","902","1.0","pathway_prior_projection"
"7","903","1.0","pathway_prior_projection"
"7","904","1.0","pathway_prior_projection"
"7","906","1.0","pathway_prior_projection"
"7","907","1.0","pathway_prior_projection"
"7","908","1.0","pathway_prior_projection"
"7","909","1.0","pathway_prior_projection"
"7","910","1.0","pathway_prior_projection"
"7","911","1.0","pathway_prior_projection"
"7","913","1.0","pathway_prior_projection"
"7","914","1.0","pathway_prior_projection"
"7","918","1.0","pathway_prior_projection"
"7","919","1.0","pathway_prior_projection"
"7","921","1.0","pathway_prior_projection"
"7","922","1.0","pathway_prior_projection"
"7","923","1.0","pathway_prior_projection"
"7","924","1.0","pathway_prior_projection"
"7","925","1.0","pathway_prior_projection"
