id,name,canonical_name,source_datasets,type
432,miR-300,mir-300,dataset1,ncrna
433,miR-301a,mir-301a,dataset1,ncrna
434,miR-301a-3p,mir-301a-3p,dataset1,ncrna
435,miR-301b-3p,mir-301b-3p,dataset1,ncrna
436,miR-302a,mir-302a,dataset1,ncrna
437,miR-302b,mir-302b,dataset1,ncrna
438,miR-302c,mir-302c,dataset1,ncrna
439,miR-302d,mir-302d,dataset1,ncrna
440,miR-30a,mir-30a,dataset1,ncrna
441,miR-30a-5p,mir-30a-5p,dataset1,ncrna
442,miR-30b,mir-30b,dataset1,ncrna
443,miR-30c-5p,mir-30c-5p,dataset1,ncrna
444,miR-30d,mir-30d,dataset1,ncrna
445,miR-30e,mir-30e,dataset1,ncrna
446,miR-31,mir-31,dataset1,ncrna
447,miR-31-5p,mir-31-5p,dataset1,ncrna
448,miR-3127-5p,mir-3127-5p,dataset1,ncrna
449,miR-3131,mir-3131,dataset1,ncrna
450,miR-3139,mir-3139,dataset1,ncrna
451,miR-3141,mir-3141,dataset1,ncrna
452,miR-3149,mir-3149,dataset1,ncrna
453,miR-3162-3p,mir-3162-3p,dataset1,ncrna
454,miR-3188,mir-3188,dataset1,ncrna
455,miR-3190-5p,mir-3190-5p,dataset1,ncrna
456,miR-32,mir-32,dataset1,ncrna
457,miR-32-5p,mir-32-5p,dataset1,ncrna
458,miR-320a,mir-320a,dataset1,ncrna
459,miR-324,mir-324,dataset1,ncrna
460,miR-324-5p,mir-324-5p,dataset1,ncrna
461,miR-325,mir-325,dataset1,ncrna
462,miR-326,mir-326,dataset1,ncrna
463,miR-328,mir-328,dataset1,ncrna
464,miR-330,mir-330,dataset1,ncrna
465,miR-330-5p,mir-330-5p,dataset1,ncrna
466,miR-331,mir-331,dataset1,ncrna
467,miR-331-3p,mir-331-3p,dataset1,ncrna
468,miR-331-5p,mir-331-5p,dataset1,ncrna
469,miR-335,mir-335,dataset1,ncrna
470,miR-335-3p,mir-335-3p,dataset1,ncrna
471,miR-335-5p,mir-335-5p,dataset1,ncrna
472,miR-337-3p,mir-337-3p,dataset1,ncrna
473,miR-338-3p,mir-338-3p,dataset1,ncrna
474,miR-338-5p,mir-338-5p,dataset1,ncrna
475,miR-339,mir-339,dataset1,ncrna
476,miR-339-5p,mir-339-5p,dataset1,ncrna
477,miR-33a,mir-33a,dataset1,ncrna
478,miR-33a-5p,mir-33a-5p,dataset1,ncrna
479,miR-33b,mir-33b,dataset1,ncrna
480,miR-33b-3p,mir-33b-3p,dataset1,ncrna
481,miR-33b-5p,mir-33b-5p,dataset1,ncrna
482,miR-340,mir-340,dataset1,ncrna
483,miR-340-5p,mir-340-5p,dataset1,ncrna
484,miR-342-3p,mir-342-3p,dataset1,ncrna
485,miR-342-5p,mir-342-5p,dataset1,ncrna
486,miR-346,mir-346,dataset1,ncrna
487,miR-34a,mir-34a,dataset1,ncrna
488,miR-34a-5p,mir-34a-5p,dataset1,ncrna
489,miR-34b,mir-34b,dataset1,ncrna
490,miR-34c,mir-34c,dataset1,ncrna
491,miR-34c-3p,mir-34c-3p,dataset1,ncrna
492,miR-34c-5p,mir-34c-5p,dataset1,ncrna
493,miR-3609,mir-3609,dataset1,ncrna
494,miR-361,mir-361,dataset1,ncrna
495,miR-3611,mir-3611,dataset1,ncrna
496,miR-363,mir-363,dataset1,ncrna
497,miR-3646,mir-3646,dataset1,ncrna
498,miR-367,mir-367,dataset1,ncrna
499,miR-367-3p,mir-367-3p,dataset1,ncrna
